categorie,ca_ttc,ca_ht,annee,mois,mois_nom,date_id,hotel_id,hotel
HEBERGEMENT,409959.619,379346.368,2023,1,Janvier,202301,1,RYL
RESTAURATION,56110.0,51920.052,2023,1,Janvier,202301,1,RYL
BAR,20037.0,18540.76,2023,1,Janvier,202301,1,RYL
DIVERS,7681.6,7107.986,2023,1,Janvier,202301,1,RYL
HEBERGEMENT,614650.796,568752.472,2023,2,Fevrier,202302,1,RYL
RESTAURATION,162846.5,150686.129,2023,2,Fevrier,202302,1,RYL
BAR,16790.0,15536.227,2023,2,Fevrier,202302,1,RYL
DIVERS,5273.5,4879.707,2023,2,Fevrier,202302,1,RYL
HEBERGEMENT,618216.563,572051.969,2023,3,Mars,202303,1,RYL
RESTAURATION,88974.0,82329.972,2023,3,Mars,202303,1,RYL
BAR,24016.0,22222.633,2023,3,Mars,202303,1,RYL
DIVERS,3538.86,3274.6,2023,3,Mars,202303,1,RYL
HEBERGEMENT,754711.566,698354.368,2023,4,Avril,202304,1,RYL
RESTAURATION,27192.0,25161.469,2023,4,Avril,202304,1,RYL
BAR,19841.0,18359.398,2023,4,Avril,202304,1,RYL
DIVERS,3361.7,3110.669,2023,4,Avril,202304,1,RYL
HEBERGEMENT,1700520.502,1573536.136,2023,5,Mai,202305,1,RYL
RESTAURATION,121187.5,112137.967,2023,5,Mai,202305,1,RYL
BAR,30702.0,28417.692,2023,5,Mai,202305,1,RYL
DIVERS,7234.549,6694.318,2023,5,Mai,202305,1,RYL
HEBERGEMENT,2239515.567,2072282.38,2023,6,Juin,202306,1,RYL
RESTAURATION,184930.0,171120.57,2023,6,Juin,202306,1,RYL
BAR,35529.5,32893.772,2023,6,Juin,202306,1,RYL
DIVERS,7570.75,7005.412,2023,6,Juin,202306,1,RYL
HEBERGEMENT,3664244.24,3390621.116,2023,7,Juillet,202307,1,RYL
RESTAURATION,158176.0,146364.393,2023,7,Juillet,202307,1,RYL
BAR,39950.0,36977.794,2023,7,Juillet,202307,1,RYL
DIVERS,1748.0,1617.47,2023,7,Juillet,202307,1,RYL
HEBERGEMENT,4192524.658,3879452.816,2023,8,Aout,202308,1,RYL
RESTAURATION,141848.096,131255.757,2023,8,Aout,202308,1,RYL
BAR,32633.0,30223.929,2023,8,Aout,202308,1,RYL
DIVERS,1386.09,1282.585,2023,8,Aout,202308,1,RYL
HEBERGEMENT,2736457.394,2532121.717,2023,9,Septembre,202309,1,RYL
RESTAURATION,66936.5,61938.096,2023,9,Septembre,202309,1,RYL
BAR,19568.5,18112.798,2023,9,Septembre,202309,1,RYL
DIVERS,1416.5,1310.724,2023,9,Septembre,202309,1,RYL
HEBERGEMENT,2090337.161,1934243.695,2023,10,Octobre,202310,1,RYL
RESTAURATION,126311.0,116878.875,2023,10,Octobre,202310,1,RYL
BAR,23822.5,22043.583,2023,10,Octobre,202310,1,RYL
DIVERS,1704.5,1577.218,2023,10,Octobre,202310,1,RYL
HEBERGEMENT,1030743.043,953773.52,2023,11,Novembre,202311,1,RYL
RESTAURATION,84835.5,78500.51,2023,11,Novembre,202311,1,RYL
BAR,15551.0,14389.748,2023,11,Novembre,202311,1,RYL
DIVERS,806.0,745.813,2023,11,Novembre,202311,1,RYL
HEBERGEMENT,996401.108,921996.028,2023,12,Decembre,202312,1,RYL
RESTAURATION,204206.968,188958.054,2023,12,Decembre,202312,1,RYL
BAR,33550.5,31045.157,2023,12,Decembre,202312,1,RYL
DIVERS,2811.0,2601.092,2023,12,Decembre,202312,1,RYL
HEBERGEMENT,741551.264,686176.797,2024,1,Janvier,202401,1,RYL
RESTAURATION,75064.42,69459.073,2024,1,Janvier,202401,1,RYL
BAR,18061.0,16712.316,2024,1,Janvier,202401,1,RYL
DIVERS,2722.0,2518.737,2024,1,Janvier,202401,1,RYL
HEBERGEMENT,915009.968,846682.675,2024,2,Fevrier,202402,1,RYL
RESTAURATION,89883.0,83171.094,2024,2,Fevrier,202402,1,RYL
BAR,15254.0,14126.029,2024,2,Fevrier,202402,1,RYL
DIVERS,5701.0,5275.285,2024,2,Fevrier,202402,1,RYL
HEBERGEMENT,875313.379,809950.383,2024,3,Mars,202403,1,RYL
RESTAURATION,68765.0,63630.054,2024,3,Mars,202403,1,RYL
BAR,8258.0,7641.343,2024,3,Mars,202403,1,RYL
DIVERS,222.0,205.422,2024,3,Mars,202403,1,RYL
HEBERGEMENT,1460657.788,1351584.888,2024,4,Avril,202404,1,RYL
RESTAURATION,47174.0,43651.338,2024,4,Avril,202404,1,RYL
BAR,16964.0,15697.233,2024,4,Avril,202404,1,RYL
DIVERS,1097.0,1015.082,2024,4,Avril,202404,1,RYL
HEBERGEMENT,2380372.792,2202621.556,2024,5,Mai,202405,1,RYL
RESTAURATION,73303.5,67829.648,2024,5,Mai,202405,1,RYL
BAR,18752.0,17351.716,2024,5,Mai,202405,1,RYL
DIVERS,1659.5,1535.579,2024,5,Mai,202405,1,RYL
HEBERGEMENT,2744836.064,2539868.663,2024,6,Juin,202406,1,RYL
RESTAURATION,44174.5,40875.823,2024,6,Juin,202406,1,RYL
BAR,14961.0,13843.804,2024,6,Juin,202406,1,RYL
DIVERS,1647.94,1524.882,2024,6,Juin,202406,1,RYL
HEBERGEMENT,3906142.217,3614455.647,2024,7,Juillet,202407,1,RYL
RESTAURATION,80834.0,74797.817,2024,7,Juillet,202407,1,RYL
BAR,21175.0,19593.781,2024,7,Juillet,202407,1,RYL
DIVERS,1403.5,1298.695,2024,7,Juillet,202407,1,RYL
HEBERGEMENT,4260046.765,3941932.789,2024,8,Aout,202408,1,RYL
RESTAURATION,97243.0,89981.494,2024,8,Aout,202408,1,RYL
BAR,18973.0,17556.214,2024,8,Aout,202408,1,RYL
DIVERS,694.0,642.176,2024,8,Aout,202408,1,RYL
HEBERGEMENT,2911776.929,2694343.416,2024,9,Septembre,202409,1,RYL
RESTAURATION,32980.0,30517.257,2024,9,Septembre,202409,1,RYL
BAR,9395.28,8698.965,2024,9,Septembre,202409,1,RYL
DIVERS,1067.0,987.323,2024,9,Septembre,202409,1,RYL
HEBERGEMENT,2558419.34,2367372.388,2024,10,Octobre,202410,1,RYL
RESTAURATION,59375.5,54941.704,2024,10,Octobre,202410,1,RYL
BAR,11477.0,10619.969,2024,10,Octobre,202410,1,RYL
DIVERS,4887.6,4522.625,2024,10,Octobre,202410,1,RYL
HEBERGEMENT,1337845.651,1237943.602,2024,11,Novembre,202411,1,RYL
RESTAURATION,56236.0,52036.643,2024,11,Novembre,202411,1,RYL
BAR,12502.0,11568.428,2024,11,Novembre,202411,1,RYL
DIVERS,7370.0,6819.654,2024,11,Novembre,202411,1,RYL
HEBERGEMENT,1185891.609,1097336.549,2024,12,Decembre,202412,1,RYL
RESTAURATION,172841.9,159935.136,2024,12,Decembre,202412,1,RYL
BAR,18541.0,17156.472,2024,12,Decembre,202412,1,RYL
DIVERS,380.0,351.624,2024,12,Decembre,202412,1,RYL
HEBERGEMENT,833317.559,771090.551,2025,1,Janvier,202501,1,RYL
RESTAURATION,38367.0,35501.989,2025,1,Janvier,202501,1,RYL
BAR,12469.0,11537.893,2025,1,Janvier,202501,1,RYL
DIVERS,317.0,293.328,2025,1,Janvier,202501,1,RYL
HEBERGEMENT,1033192.408,956039.983,2025,2,Fevrier,202502,1,RYL
RESTAURATION,101160.0,93605.996,2025,2,Fevrier,202502,1,RYL
BAR,18988.12,17570.204,2025,2,Fevrier,202502,1,RYL
DIVERS,2425.0,2243.916,2025,2,Fevrier,202502,1,RYL
HEBERGEMENT,965811.817,893690.958,2025,3,Mars,202503,1,RYL
RESTAURATION,42929.0,39723.327,2025,3,Mars,202503,1,RYL
BAR,7547.0,6983.437,2025,3,Mars,202503,1,RYL
DIVERS,441.0,408.069,2025,3,Mars,202503,1,RYL
HEBERGEMENT,2019249.974,1868464.86,2025,4,Avril,202504,1,RYL
RESTAURATION,82176.5,76040.066,2025,4,Avril,202504,1,RYL
BAR,32670.0,30230.406,2025,4,Avril,202504,1,RYL
