annee,mois,mois_nom,hotel_id,hotel,personnel,achats_consommation,services_exterieurs,autres_services_exterieurs,charges_diverses,charges_financieres,impots_taxes,dotations_amort,energie,eau,electricite,gaz,carburant,autres_exploit,total_charges
2023,1,Janvier,1,RYL,507404.098,403100.066,6815.037,50428.857,0.0,0.0,22958.281,0.0,76880.798,11704.771,48278.649,16582.082,315.296,57243.894,1067587.137
2023,2,Fevrier,1,RYL,334240.579,244772.57,2256.954,18909.56,0.0,0.0,25102.648,0.0,76880.798,11704.771,48278.649,16582.082,315.296,21166.514,702163.109
2023,3,Mars,1,RYL,338655.72,239070.541,2545.846,17097.93,0.0,0.0,24015.336,0.0,76880.798,11704.771,48278.649,16582.082,315.296,19643.776,698266.171
2023,4,Avril,1,RYL,381503.978,246446.265,4303.867,10644.659,0.0,7.858,25956.541,0.0,76880.798,11704.771,48278.649,16582.082,315.296,14948.526,745743.966
2023,5,Mai,1,RYL,411849.088,463401.93,3273.566,56538.656,99.7,0.0,48320.46,0.0,76880.798,11704.771,48278.649,16582.082,315.296,59911.922,1060364.198
2023,6,Juin,1,RYL,470849.794,572408.42,14799.737,167361.769,1251.0,0.0,61557.767,0.0,76880.798,11704.771,48278.649,16582.082,315.296,183412.506,1365109.285
2023,7,Juillet,1,RYL,654319.956,726421.376,2757.048,115611.275,847.0,0.0,94640.416,0.0,76880.798,11704.771,48278.649,16582.082,315.296,119215.323,1671477.869
2023,8,Aout,1,RYL,408026.177,754940.438,6250.164,40431.014,0.0,0.0,97963.092,0.0,76880.798,11704.771,48278.649,16582.082,315.296,46681.178,1384491.683
2023,9,Septembre,1,RYL,447638.349,664961.273,3380.739,204770.375,5830.0,0.0,68131.926,0.0,76880.798,11704.771,48278.649,16582.082,315.296,213981.114,1471593.46
2023,10,Octobre,1,RYL,470471.718,479263.322,9870.483,34260.885,8562.5,910.282,57577.959,0.0,76880.798,11704.771,48278.649,16582.082,315.296,52693.868,1137797.947
